Date,Usage,Notifications,Times opened,App
26-08-2022,38,70,49,Instagram
27-08-2022,39,43,48,Instagram
28-08-2022,64,231,55,Instagram
29-08-2022,14,35,23,Instagram
30-08-2022,3,19,5,Instagram
31-08-2022,19,25,20,Instagram
01-09-2022,44,23,57,Instagram
02-09-2022,16,28,22,Instagram
03-09-2022,27,15,25,Instagram
04-09-2022,72,29,30,Instagram
05-09-2022,42,24,51,Instagram
06-09-2022,19,34,25,Instagram
07-09-2022,38,23,19,Instagram
08-09-2022,71,48,43,Instagram
09-09-2022,43,68,70,Instagram
10-09-2022,45,71,70,Instagram
11-09-2022,94,180,95,Instagram
12-09-2022,114,99,102,Instagram
13-09-2022,17,45,39,Instagram
14-09-2022,,10,2,Instagram
15-09-2022,2,15,4,Instagram
16-09-2022,3,13,5,Instagram
17-09-2022,2,9,3,Instagram
18-09-2022,3,8,5,Instagram
19-09-2022,4,8,3,Instagram
20-09-2022,5,11,5,Instagram
21-09-2022,2,12,8,Instagram
26-08-2022,82,209,105,Whatsapp
27-08-2022,69,111,68,Whatsapp
28-08-2022,130,183,86,Whatsapp
29-08-2022,59,157,74,Whatsapp
30-08-2022,128,246,87,Whatsapp
31-08-2022,108,169,77,Whatsapp
01-09-2022,23,99,47,Whatsapp
02-09-2022,76,144,103,Whatsapp
03-09-2022,1,,16,Whatsapp
04-09-2022,6,38,33,Whatsapp
05-09-2022,126,218,121,Whatsapp
06-09-2022,91,205,110,Whatsapp
07-09-2022,160,212,83,Whatsapp
08-09-2022,69,217,82,Whatsapp
09-09-2022,119,405,192,Whatsapp
10-09-2022,103,166,79,Whatsapp
11-09-2022,203,173,92,Whatsapp
12-09-2022,182,290,172,Whatsapp
13-09-2022,71,153,91,Whatsapp
14-09-2022,64,192,67,Whatsapp
15-09-2022,50,181,58,Whatsapp
16-09-2022,70,176,91,Whatsapp
17-09-2022,212,212,120,Whatsapp
18-09-2022,244,303,132,Whatsapp
19-09-2022,77,169,105,Whatsapp
20-09-2022,58,190,78,Whatsapp
21-09-2022,89,262,68,Whatsapp
26-08-2022,100,34,90,PubG
27-08-2022,90,23,80,PubG
28-08-2022,130,13,70,PubG
29-08-2022,122,,91,PubG
30-08-2022,124,9,45,PubG
31-08-2022,50,10,15,PubG
01-09-2022,25,16,15,PubG
02-09-2022,12,6,8,PubG
03-09-2022,120,28,40,PubG
04-09-2022,60,43,53,PubG
05-09-2022,43,30,39,PubG
06-09-2022,29,19,18,PubG
07-09-2022,190,15,70,PubG
08-09-2022,,4,2,PubG
09-09-2022,90,6,68,PubG
10-09-2022,39,7,23,PubG
11-09-2022,94,17,25,PubG
12-09-2022,104,17,48,PubG
13-09-2022,122,5,56,PubG
14-09-2022,160,6,50,PubG
15-09-2022,71,19,68,PubG
16-09-2022,31,20,28,PubG
17-09-2022,4,1,1,PubG
18-09-2022,17,7,8,PubG
19-09-2022,99,6,45,PubG
20-09-2022,9,4,3,PubG
21-09-2022,94,18,75,PubG
26-08-2022,90,20,88,Udemy
27-08-2022,88,17,78,Udemy
28-08-2022,99,,90,Udemy
29-08-2022,100,23,92,Udemy
30-08-2022,87,9,76,Udemy
31-08-2022,76,18,67,Udemy
01-09-2022,64,14,54,Udemy
02-09-2022,44,10,39,Udemy
03-09-2022,67,19,50,Udemy
04-09-2022,53,22,48,Udemy
05-09-2022,29,17,20,Udemy
06-09-2022,32,23,23,Udemy
07-09-2022,40,12,27,Udemy
08-09-2022,42,14,30,Udemy
09-09-2022,71,15,60,Udemy
10-09-2022,32,12,21,Udemy
11-09-2022,20,,14,Udemy
12-09-2022,10,9,5,Udemy
13-09-2022,16,12,4,Udemy
14-09-2022,24,9,18,Udemy
15-09-2022,,2,,Udemy
16-09-2022,6,3,2,Udemy
17-09-2022,16,5,8,Udemy
18-09-2022,14,6,7,Udemy
19-09-2022,16,12,6,Udemy
20-09-2022,38,23,22,Udemy
21-09-2022,53,20,32,Udemy
26-08-2022,100,4,45,MSExcel
27-08-2022,70,5,39,MSExcel
28-08-2022,88,4,27,MSExcel
29-08-2022,65,12,30,MSExcel
30-08-2022,87,5,45,MSExcel
31-08-2022,65,3,38,MSExcel
01-09-2022,55,7,40,MSExcel
02-09-2022,98,8,70,MSExcel
03-09-2022,65,3,40,MSExcel
04-09-2022,34,9,20,MSExcel
05-09-2022,76,4,56,MSExcel
06-09-2022,90,7,70,MSExcel
07-09-2022,45,2,20,MSExcel
08-09-2022,39,5,12,MSExcel
09-09-2022,47,3,14,MSExcel
10-09-2022,,2,2,MSExcel
11-09-2022,50,8,12,MSExcel
12-09-2022,29,9,13,MSExcel
13-09-2022,93,,60,MSExcel
14-09-2022,88,16,61,MSExcel
15-09-2022,73,,45,MSExcel
16-09-2022,66,17,54,MSExcel
17-09-2022,56,7,43,MSExcel
18-09-2022,46,8,32,MSExcel
19-09-2022,65,4,34,MSExcel
20-09-2022,,5,23,MSExcel
21-09-2022,54,2,1,MSExcel
